site,natural,cultural,danger,url,country,year
Aachen Cathedral,0.0,1.0,0.0,https://whc.unesco.org/en/list/3,Germany,1978.0
City of Quito,0.0,1.0,0.0,https://whc.unesco.org/en/list/2,Ecuador,1978.0
Galápagos Islands,1.0,0.0,0.0,https://whc.unesco.org/en/list/1,Ecuador,1978.0
Historic Centre of Kraków,0.0,1.0,0.0,https://whc.unesco.org/en/list/29,Poland,1978.0
Island of Gorée,0.0,1.0,0.0,https://whc.unesco.org/en/list/26,Senegal,1978.0
L’Anse aux Meadows National Historic Site,0.0,1.0,0.0,https://whc.unesco.org/en/list/4,Canada,1978.0
Mesa Verde National Park,0.0,1.0,0.0,https://whc.unesco.org/en/list/27,United States of America,1978.0
Nahanni National Park,1.0,0.0,0.0,https://whc.unesco.org/en/list/24,Canada,1978.0
"Rock-Hewn Churches, Lalibela",0.0,1.0,0.0,https://whc.unesco.org/en/list/18,Ethiopia,1978.0
Simien National Park,1.0,0.0,0.0,https://whc.unesco.org/en/list/9,Ethiopia,1978.0
Wieliczka and Bochnia Royal Salt Mines,0.0,1.0,0.0,https://whc.unesco.org/en/list/32,Poland,1978.0
Yellowstone National Park,1.0,0.0,0.0,https://whc.unesco.org/en/list/28,United States of America,1978.0
Abu Mena,0.0,1.0,1.0,https://whc.unesco.org/en/list/90,Egypt,1979.0
Amphitheatre of El Jem,0.0,1.0,0.0,https://whc.unesco.org/en/list/38,Tunisia,1979.0
Ancient City of Damascus,0.0,1.0,1.0,https://whc.unesco.org/en/list/20,Syrian Arab Republic,1979.0
Ancient Thebes with its Necropolis,0.0,1.0,0.0,https://whc.unesco.org/en/list/87,Egypt,1979.0
Antigua Guatemala,0.0,1.0,0.0,https://whc.unesco.org/en/list/65,Guatemala,1979.0
Archaeological Site of Carthage,0.0,1.0,0.0,https://whc.unesco.org/en/list/37,Tunisia,1979.0
Auschwitz Birkenau German Nazi Concentration and Extermination Camp (1940-1945),0.0,1.0,0.0,https://whc.unesco.org/en/list/31,Poland,1979.0
